sector,site_description_local,latitude,longitude,import,road
cameras_report_emregion_foi,M1 182/1B J23A J23,52.8161,358.694,Y,M1 
cameras_report_emregion_foi,M1 182/8A J23A J24,52.8226,358.696,Y,M1 
cameras_report_emregion_foi,M1 185/1B J24A J24,52.8426,358.705,Y,M1 
cameras_report_emregion_foi,M1 186/6L J24A,52.856,358.701,Y,M1 
cameras_report_emregion_foi,M1 188/0B J25   J24A Sawley South,52.8684,358.694,Y,M1 
cameras_report_emregion_foi,M1 189/3A J24A J25,52.8789,358.689,Y,M1 
cameras_report_emregion_foi,M1 192/4B J25,52.91,358.7,Y,M1 
cameras_report_emregion_foi,M1 193/5A J25,52.915,358.7,Y,M1 
cameras_report_emregion_foi,M1 193/6A,52.916,358.7,Y,M1 
cameras_report_emregion_foi,M1 193/9L J25,52.9193,358.701,Y,M1 
cameras_report_emregion_foi,M1 194/5A J25   J26,52.9247,358.699,Y,M1 
cameras_report_emregion_foi,M1 195/4A J25   J26,52.9319,358.701,Y,M1 
cameras_report_emregion_foi,M1 196/4B J26   J25,52.938,358.712,Y,M1 
cameras_report_emregion_foi,M1 197/7A J25   J26,52.9484,358.722,Y,M1 
cameras_report_emregion_foi,M1 197/9A J25   J26,52.9514,358.722,Y,M1 
cameras_report_emregion_foi,M1 198/6A J25   J26,52.956,358.726,Y,M1 
cameras_report_emregion_foi,M1 200/2B J26   J25,52.9675,358.742,Y,M1 
cameras_report_emregion_foi,M1 201/8A J25   J26,52.9803,358.751,Y,M1 
cameras_report_emregion_foi,M1 202/6J J26,52.9856,358.76,Y,M1 
cameras_report_emregion_foi,M1 203/6L J26,52.993,358.768,Y,M1 
cameras_report_emregion_foi,M1 204/5B J27   J26,53.0009,358.769,Y,M1 
cameras_report_emregion_foi,M1 206/1A J26   J27,53.0135,358.757,Y,M1 
cameras_report_emregion_foi,M1 207/8B J27   J26,53.0282,358.754,Y,M1 
cameras_report_emregion_foi,M1 209/6A J26   J27,53.0432,358.744,Y,M1 
cameras_report_emregion_foi,M1 210/7B J27   J26,53.0538,358.742,Y,M1 
cameras_report_emregion_foi,M1 212/0A J27,53.0628,358.731,Y,M1 
cameras_report_emregion_foi,M1 212/6B J28   J27,53.0677,358.726,Y,M1 
cameras_report_emregion_foi,M1 214/3A J27   J28,53.0786,358.707,Y,M1 
cameras_report_emregion_foi,M1 215/8A J27   J28,53.0896,358.695,Y,M1 
cameras_report_emregion_foi,M1 217/2J J28,53.0985,358.681,Y,M1 
cameras_report_emregion_foi,M1 217/6A J28,53.101,358.676,Y,M1 
cameras_report_emregion_foi,M1 217/6B J28,53.1013,358.676,Y,M1 
cameras_report_emregion_foi,M1 220/6B J29 J28,53.125,358.67,Y,M1 
cameras_report_emregion_foi,M1 223/3B J29 J28,53.149,358.671,Y,M1 
cameras_report_emregion_foi,M1 226/1A J28 J29,53.1754,358.675,Y,M1 
cameras_report_emregion_foi,M1 J29A   31 LOOP,53.198,358.677,Y,M1 
cameras_report_emregion_foi,M1 J28  31 INCIDENT,53.222,358.67,Y,M1 
cameras_report_emregion_foi,M1 J28   29A LOOP,53.252,358.673,Y,M1 
cameras_report_emregion_foi,M1 J28   31 INCIDENT,53.276,358.699,Y,M1 
cameras_report_emregion_foi,Not Op   In scheme,53.286,358.703,N, NaN
cameras_report_emregion_foi,M45 0/3B J17,52.327,358.854,Y,M45 
cameras_report_emregion_foi,M45 4/5B J1,52.337,358.796,Y,M45 
cameras_report_emregion_foi,M45 10/9A J1,52.334,358.703,Y,M45 
cameras_report_emregion_foi,M1 M6 133/1/B J19,52.405,358.817,Y,M1 
cameras_report_emregion_foi,M1 M6 134/2A J19,52.4055,-1.19969,Y,M1 
cameras_report_emregion_foi,M1 M6 135/6A J19,52.406,358.779,Y,M1 
cameras_report_nwregion_foi,0,0,0,N, NaN
cameras_report_nwregion_foi,31681 M62 68/1A J21 MILNROW,53.6018,357.888,Y,M62 
cameras_report_nwregion_foi,M62 Junction 8,53.4151,357.354,Y,M62 
